URL,Dinosaur,Height,Weight
https://en.wikipedia.org/wiki/Asiaceratops,Asiaceratops,-,-
https://en.wikipedia.org/wiki/Asiamericana,Asiamericana,-,-
https://en.wikipedia.org/wiki/Fish,fish,-,-
https://en.wikipedia.org/wiki/Asiatosaurus,Asiatosaurus,-,-
https://en.wikipedia.org/wiki/Asiatyrannus,Asiatyrannus,-,-
https://en.wikipedia.org/wiki/Asilisaurus,Asilisaurus,-,-
https://en.wikipedia.org/wiki/Astigmasaura,Astigmasaura,-,-
https://en.wikipedia.org/wiki/Astrodon,Astrodon,-,-
https://en.wikipedia.org/wiki/Astrodonius,Astrodonius,-,-
https://en.wikipedia.org/wiki/Astrodontaurus,Astrodontaurus,-,-
https://en.wikipedia.org/wiki/Astrophocaudia,Astrophocaudia,-,-
https://en.wikipedia.org/wiki/Asylosaurus,Asylosaurus,-,['250 kilograms']
https://en.wikipedia.org/wiki/Atacamatitan,Atacamatitan,-,-
https://en.wikipedia.org/wiki/Athenar,Athenar,-,-
https://en.wikipedia.org/wiki/Atlantosaurus,Atlantosaurus,-,-
https://en.wikipedia.org/wiki/Atlasaurus,Atlasaurus,-,-
https://en.wikipedia.org/wiki/Atlascopcosaurus,Atlascopcosaurus,-,-
https://en.wikipedia.org/wiki/Atrociraptor,Atrociraptor,-,-
https://en.wikipedia.org/wiki/Atsinganosaurus,Atsinganosaurus,-,-
https://en.wikipedia.org/wiki/Austroraptor,Austroraptor,-,['520 kilograms']
https://en.wikipedia.org/wiki/Aublysodon,Aublysodon,-,-
https://en.wikipedia.org/wiki/Aucasaurus,Aucasaurus,-,-
https://en.wikipedia.org/wiki/Augustia,Augustia,-,-
https://en.wikipedia.org/wiki/Augustynolophus,Augustynolophus,-,-
https://en.wikipedia.org/wiki/Auroraceratops,Auroraceratops,-,-
https://en.wikipedia.org/wiki/Aurornis,Aurornis,-,-
https://en.wikipedia.org/wiki/Australodocus,Australodocus,-,-
https://en.wikipedia.org/wiki/Australotitan,Australotitan,-,-
https://en.wikipedia.org/wiki/Australovenator,Australovenator,-,-
https://en.wikipedia.org/wiki/Austrocheirus,Austrocheirus,-,-
https://en.wikipedia.org/wiki/Austroposeidon,Austroposeidon,-,-
https://en.wikipedia.org/wiki/Austrosaurus,Austrosaurus,-,-
https://en.wikipedia.org/wiki/Avaceratops,Avaceratops,-,-
https://en.wikipedia.org/wiki/Avalonia_(dinosaur),Avalonia,-,-
https://en.wikipedia.org/wiki/Avalonianus,Avalonianus,-,-
https://en.wikipedia.org/wiki/Archosaur,archosaur,-,-
https://en.wikipedia.org/wiki/Aviatyrannis,Aviatyrannis,-,-
https://en.wikipedia.org/wiki/Avimimus,Avimimus,-,-
https://en.wikipedia.org/wiki/Avipes,Avipes,-,-
https://en.wikipedia.org/wiki/Dinosauromorph,dinosauromorph,-,-
https://en.wikipedia.org/wiki/Avisaurus,Avisaurus,-,-
https://en.wikipedia.org/wiki/Enantiornithine,enantiornithine,-,-
https://en.wikipedia.org/wiki/Azendohsaurus,Azendohsaurus,-,-
https://en.wikipedia.org/wiki/Archosauromorph,archosauromorph,-,-
https://en.wikipedia.org/wiki/Baalsaurus,Baalsaurus,-,-
https://en.wikipedia.org/wiki/Bactrosaurus,Bactrosaurus,-,-
https://en.wikipedia.org/wiki/Bagaceratops,Bagaceratops,-,-
https://en.wikipedia.org/wiki/Bagaraatan,Bagaraatan,-,-
https://en.wikipedia.org/wiki/Bagualia,Bagualia,-,-
https://en.wikipedia.org/wiki/Bagualosaurus,Bagualosaurus,-,-
https://en.wikipedia.org/wiki/Bahariasaurus,Bahariasaurus,-,-
https://en.wikipedia.org/wiki/Bainoceratops,Bainoceratops,-,-
https://en.wikipedia.org/wiki/Baiyinosaurus,Baiyinosaurus,-,-
https://en.wikipedia.org/wiki/Bajadasaurus,Bajadasaurus,-,-
https://en.wikipedia.org/wiki/Bakesaurus,Bakesaurus,-,-
https://en.wikipedia.org/wiki/Balaur_bondoc,Balaur,-,-
https://en.wikipedia.org/wiki/Elopteryx,Elopteryx,-,-
https://en.wikipedia.org/wiki/Balochisaurus,Balochisaurus,-,-
https://en.wikipedia.org/wiki/Bambiraptor,Bambiraptor,-,-
https://en.wikipedia.org/wiki/Banji,Banji,-,-
https://en.wikipedia.org/wiki/Bannykus,Bannykus,-,-
https://en.wikipedia.org/wiki/Baryonyx,Baryonyx,-,-
https://en.wikipedia.org/wiki/National_Museum_of_Nature_and_Science,National Museum of Nature and Science,-,-
https://en.wikipedia.org/wiki/Baotianmansaurus,Baotianmansaurus,-,-
https://en.wikipedia.org/wiki/Barapasaurus,Barapasaurus,-,-
https://en.wikipedia.org/wiki/Barilium,Barilium,-,-
https://en.wikipedia.org/wiki/Barosaurus,Barosaurus,-,-
https://en.wikipedia.org/wiki/Barrosasaurus,Barrosasaurus,-,-
https://en.wikipedia.org/wiki/Barsboldia,Barsboldia,-,-
https://en.wikipedia.org/wiki/Bashanosaurus,Bashanosaurus,-,-
https://en.wikipedia.org/wiki/Bashunosaurus,Bashunosaurus,-,-
https://en.wikipedia.org/wiki/Basutodon,Basutodon,-,-
https://en.wikipedia.org/wiki/Bathygnathus,Bathygnathus,-,-
https://en.wikipedia.org/wiki/Pelycosaur,pelycosaur,-,-
https://en.wikipedia.org/wiki/Dimetrodon,Dimetrodon,-,-
https://en.wikipedia.org/wiki/Batyrosaurus,Batyrosaurus,-,-
https://en.wikipedia.org/wiki/Baurutitan,Baurutitan,-,-
https://en.wikipedia.org/wiki/Bayannurosaurus,Bayannurosaurus,-,-
https://en.wikipedia.org/wiki/Bayosaurus,Bayosaurus,-,-
https://en.wikipedia.org/wiki/Becklespinax,Becklespinax,-,-
https://en.wikipedia.org/wiki/Beelemodon,Beelemodon,-,-
https://en.wikipedia.org/wiki/Beg_tse,Beg,-,-
https://en.wikipedia.org/wiki/Beibeilong,Beibeilong,-,-
https://en.wikipedia.org/wiki/Beipiaognathus,Beipiaognathus,-,-
https://en.wikipedia.org/wiki/Chimera_(paleontology),chimera,-,-
https://en.wikipedia.org/wiki/Beipiaosaurus,Beipiaosaurus,-,-
https://en.wikipedia.org/wiki/Beishanlong,Beishanlong,-,-
https://en.wikipedia.org/wiki/Bellusaurus,Bellusaurus,-,-
https://en.wikipedia.org/wiki/Belodon,Belodon,-,-
https://en.wikipedia.org/wiki/Phytosaur,phytosaur,-,-
https://en.wikipedia.org/wiki/Berberosaurus,Berberosaurus,-,-
https://en.wikipedia.org/wiki/Berthasaura,Berthasaura,-,-
https://en.wikipedia.org/wiki/Betasuchus,Betasuchus,-,-
https://en.wikipedia.org/wiki/Bicentenaria,Bicentenaria,-,-
https://en.wikipedia.org/wiki/Bienosaurus,Bienosaurus,-,-
https://en.wikipedia.org/wiki/Bihariosaurus,Bihariosaurus,-,-
https://en.wikipedia.org/wiki/Bilbeyhallorum,Bilbeyhallorum,-,-
https://en.wikipedia.org/wiki/Cedarpelta,Cedarpelta,-,-
https://en.wikipedia.org/wiki/Biscoveosaurus,Biscoveosaurus,-,-
https://en.wikipedia.org/wiki/Bissektipelta,Bissektipelta,-,-
https://en.wikipedia.org/wiki/Bistahieversor,Bistahieversor,-,-
https://en.wikipedia.org/wiki/Bisticeratops,Bisticeratops,-,-
https://en.wikipedia.org/wiki/Blasisaurus,Blasisaurus,-,-
https://en.wikipedia.org/wiki/Blikanasaurus,Blikanasaurus,-,-
https://en.wikipedia.org/wiki/Bolong,Bolong,-,-
https://en.wikipedia.org/wiki/Bonapartenykus,Bonapartenykus,-,-
https://en.wikipedia.org/wiki/Bonapartesaurus,Bonapartesaurus,-,-
https://en.wikipedia.org/wiki/Bonatitan,Bonatitan,-,-
https://en.wikipedia.org/wiki/Bonitasaura,Bonitasaura,-,-
https://en.wikipedia.org/wiki/Borealopelta,Borealopelta,-,-
https://en.wikipedia.org/wiki/Borealosaurus,Borealosaurus,-,-
https://en.wikipedia.org/wiki/Boreonykus,Boreonykus,-,-
https://en.wikipedia.org/wiki/Borogovia,Borogovia,-,-
https://en.wikipedia.org/wiki/Bothriospondylus,Bothriospondylus,-,-
https://en.wikipedia.org/wiki/Brachiosaurus,Brachiosaurus,-,-
https://en.wikipedia.org/wiki/Brachyceratops,Brachyceratops,-,-
https://en.wikipedia.org/wiki/Brachylophosaurus,Brachylophosaurus,-,-
https://en.wikipedia.org/wiki/Brachypodosaurus,Brachypodosaurus,-,-
https://en.wikipedia.org/wiki/Brachyrophus,Brachyrophus,-,-
https://en.wikipedia.org/wiki/Camptosaurus,Camptosaurus,-,-
